IP,Inventario,Acuracia,TempoReacao,APM,TaxaHeadshots,JaFoiSuspeito,IPRepetido,SusInv,Classe
192.168.155.215,"Submetralhadora, Lança-granadas, Torreta, Explosivo",48,334,31,0,0,0,0,Legítimo
192.168.215.80,"Torreta, MedKit, Drone, GranadaFrag",81,364,103,69,0,0,0,Legítimo
192.168.199.83,"GranadaFumo, Pistola, Sniper, Torreta",46,341,43,71,0,0,0,Legítimo
192.168.69.211,"Submetralhadora, Capacete, Faca, Torreta",76,354,22,65,0,0,0,Legítimo
192.168.206.163,"Mira, Drone, Submetralhadora, Pistola",100,361,114,58,0,0,0,Legítimo
192.168.101.165,"Fuzil, Torreta, Drone, Sniper",49,74,66,34,0,0,0,Legítimo
192.168.29.189,"Fuzil, Colete, GranadaFumo, Sniper",44,130,75,92,0,0,0,Legítimo
192.168.36.167,"Espingarda, Fuzil, Metralhadora, Pistola",47,259,60,48,0,0,0,Legítimo
192.168.231.170,"Metralhadora, Colete, Explosivo, Pistola",99,80,41,58,1,0,0,Suspeito
192.168.33.137,"Explosivo, Silenciador, GranadaFumo, Torreta",92,183,147,47,0,0,0,Suspeito
192.168.70.183,"Capacete, MedKit, Sniper, Revólver",40,385,51,76,0,0,0,Legítimo
192.168.228.73,"Silenciador, GranadaFrag, Pistola, Explosivo",43,305,72,95,0,0,0,Legítimo
192.168.188.101,"Submetralhadora, Fuzil, Silenciador, GranadaFumo",75,367,124,36,0,0,1,Legítimo
192.168.182.201,"Mira, Metralhadora, Colete, GranadaFrag",80,112,56,35,0,0,0,Legítimo
192.168.169.152,"Metralhadora, GranadaFrag, Mira, Lança-granadas",55,337,149,10,0,0,0,Legítimo
192.168.36.209,"Drone, Faca, Fuzil, GranadaInc",53,93,122,64,0,0,0,Legítimo
192.168.216.149,"GranadaInc, Colete, Silenciador, Drone",94,327,69,22,0,0,0,Legítimo
192.168.253.50,"Revólver, Submetralhadora, Colete, Mira",43,88,37,63,0,0,0,Legítimo
192.168.22.92,"Explosivo, Faca, Torreta, Colete",50,254,66,26,0,0,0,Legítimo
192.168.224.172,"Colete, Silenciador, Espingarda, Submetralhadora",57,330,37,75,0,0,1,Suspeito
192.168.240.76,"Colete, Lança-granadas, Revólver, GranadaFrag",81,315,58,64,0,0,0,Legítimo
192.168.191.80,"GranadaInc, Mira, Sniper, Submetralhadora",68,64,49,28,0,0,0,Legítimo
192.168.112.19,"Colete, Lança-granadas, Drone, GranadaFumo",42,155,88,91,0,0,0,Legítimo
192.168.248.151,"Silenciador, Colete, Mira, Sniper",47,102,124,18,0,0,1,Suspeito
192.168.229.255,"Explosivo, Lança-granadas, Faca, GranadaFrag",60,212,71,11,0,0,0,Legítimo
192.168.49.207,"MedKit, Silenciador, Capacete, Drone",74,255,109,80,0,0,0,Legítimo
192.168.241.175,"Mira, Lança-granadas, Drone, Torreta",72,177,49,67,0,0,0,Legítimo
192.168.35.44,"MedKit, Revólver, Lança-granadas, GranadaInc",60,164,64,4,0,0,0,Legítimo
192.168.125.68,"Explosivo, Mira, Submetralhadora, GranadaFumo",42,66,93,17,0,0,0,Legítimo
192.168.23.164,"Revólver, Capacete, Pistola, Metralhadora",100,147,101,83,0,0,0,Suspeito
192.168.197.161,"GranadaInc, Torreta, Faca, Metralhadora",85,330,109,43,0,0,0,Legítimo
192.168.203.182,"Espingarda, Torreta, Pistola, Capacete",59,192,123,24,0,0,1,Suspeito
192.168.236.51,"Colete, Capacete, Mira, Torreta",89,179,116,70,0,0,1,Suspeito
192.168.174.88,"Lança-granadas, Metralhadora, Silenciador, Fuzil",92,264,140,46,0,0,0,Legítimo
192.168.128.93,"Submetralhadora, Metralhadora, GranadaFumo, GranadaFrag",93,213,140,79,0,0,0,Suspeito
192.168.119.180,"Sniper, Submetralhadora, Pistola, Faca",96,151,132,38,0,0,0,Suspeito
192.168.39.19,"GranadaFrag, Mira, MedKit, Espingarda",52,72,61,49,0,0,0,Legítimo
192.168.254.156,"Drone, Metralhadora, Fuzil, Torreta",62,174,35,33,0,0,0,Legítimo
192.168.24.54,"Faca, Metralhadora, Torreta, GranadaFumo",77,325,61,94,0,0,0,Legítimo
