IP,Inventario,Precisao,TempoReacao,APM,TaxaHeadshots,JaFoiSuspeito,SusInv,Classe
192.168.128.214,"Lança-granadas, GranadaInc, GranadaFumo, Submetralhadora",81,133,132,19,0,0,Suspeito
192.168.62.205,"Lança-granadas, Torreta, Faca, Fuzil",45,62,56,41,0,1,Legítimo
192.168.138.54,"GranadaInc, Fuzil, MedKit, Faca",78,338,101,10,0,0,Legítimo
192.168.230.44,"Mira, Lança-granadas, Pistola, Fuzil",69,265,22,59,0,1,Legítimo
192.168.176.140,"Torreta, Metralhadora, MedKit, Submetralhadora",51,306,138,63,0,0,Legítimo
192.168.100.241,"Fuzil, Silenciador, Capacete, GranadaFumo",90,261,113,82,0,1,Suspeito
192.168.140.52,"Drone, Faca, Espingarda, MedKit",81,206,121,63,0,0,Legítimo
192.168.252.255,"Sniper, Revólver, MedKit, GranadaFrag",70,196,145,56,0,0,Legítimo
192.168.15.130,"Submetralhadora, Metralhadora, Colete, Fuzil",42,200,122,50,0,0,Legítimo
192.168.215.47,"Revólver, Lança-granadas, Sniper, Submetralhadora",70,369,146,97,0,0,Legítimo
192.168.212.139,"MedKit, Explosivo, GranadaFrag, Torreta",89,203,77,27,0,1,Legítimo
192.168.128.61,"Colete, Sniper, Drone, Fuzil",80,80,111,89,1,1,Suspeito
192.168.238.171,"Explosivo, Pistola, Lança-granadas, Submetralhadora",86,69,84,92,0,1,Suspeito
192.168.9.215,"Submetralhadora, Drone, Metralhadora, Pistola",54,220,115,18,1,1,Suspeito
192.168.71.13,"GranadaInc, GranadaFumo, Silenciador, Mira",52,229,140,62,0,1,Legítimo
192.168.13.94,"GranadaFumo, Fuzil, Faca, Silenciador",88,269,136,78,1,1,Suspeito
192.168.231.45,"MedKit, Sniper, Metralhadora, Silenciador",84,128,122,54,0,0,Suspeito
192.168.232.206,"Fuzil, Espingarda, Sniper, Faca",59,176,40,38,0,1,Legítimo
192.168.114.193,"Metralhadora, Sniper, Pistola, Silenciador",94,238,48,75,0,0,Legítimo
192.168.175.194,"GranadaFumo, Fuzil, Metralhadora, GranadaFrag",97,107,29,72,0,1,Suspeito
192.168.189.145,"Capacete, GranadaInc, Submetralhadora, Mira",77,231,110,62,0,1,Legítimo
192.168.173.42,"Silenciador, Metralhadora, Espingarda, Sniper",79,217,30,55,0,0,Legítimo
192.168.81.208,"Submetralhadora, Mira, Torreta, Sniper",68,253,72,80,1,1,Suspeito
