Colete, Lança-granadas, GranadaFumo, GranadaGas
GranadaFrag, Silenciador, MedKit, GranadaFumo
Fuzil, Espingarda, GranadaFrag, GranadaGas
Explosivo, Capacete, GranadaInc, Mina
Revólver, Silenciador, BalestraTec, Bazuca
Metralhadora, Torreta, Lança-granadas, GranadaGas
Sniper, Metralhadora, Capacete, MedKit
Revólver, Silenciador, Explosivo, Torreta
Pistola, GranadaFrag, Mira, Torreta
Sniper, Mira, GranadaInc, GranadaFumo
Espingarda, Drone, Colete, Lança-granadas
Revólver, Lança-granadas, BalestraTec, Lança-chamas
Submetralhadora, Capacete, GranadaFumo, GranadaGas
Pistola, Espingarda, GranadaFrag, Capacete
GranadaFrag, Bazuca, GranadaGas, Lança-chamas
Pistola, Capacete, GranadaInc, GranadaFumo
Revólver, Colete, Mina, GranadaGas
GranadaFrag, Explosivo, Colete, Lança-chamas
Metralhadora, Mira, Torreta, MedKit
Sniper, Metralhadora, MedKit, BalestraTec
Sniper, Explosivo, Bazuca, Lança-chamas
Sniper, Explosivo, Lança-granadas, GranadaFumo
Drone, Mina, Bazuca, GranadaGas
Submetralhadora, Metralhadora, Silenciador, MedKit
Metralhadora, MedKit, Mina, Bazuca
Fuzil, GranadaFrag, Drone, GranadaFumo
Espingarda, Submetralhadora, Bazuca, GranadaGas
Sniper, GranadaFrag, Explosivo, Bazuca
Espingarda, Explosivo, Colete, BalestraTec
Revólver, Drone, MedKit, Lança-granadas
Sniper, Submetralhadora, Faca, Mina
Torreta, GranadaInc, MedKit, Mina
Pistola, Faca, Lança-granadas, Lança-chamas
Espingarda, Capacete, GranadaFumo, Mina
Faca, Mina, Bazuca, GranadaGas
Pistola, Fuzil, Sniper, Silenciador
Explosivo, Torreta, GranadaInc, GranadaGas
Pistola, Metralhadora, Drone, GranadaFumo
GranadaFrag, Submetralhadora, Colete, Mina
Metralhadora, Faca, Torreta, BalestraTec
Submetralhadora, Faca, Mira, GranadaGas
