IP,Acuracia,TempoReacao,APM,TaxaErros,IPRepetido,JaFoiSuspeito,Inventario,AcoesBots,Classe
192.168.96.243,79,395,117,19,1,0,"Cristal, Martelo, Anel, Foco",0,Suspeito
192.168.187.153,91,251,113,16,0,0,"Joia, Elmo, Armadura, Chave",0,Legítimo
192.168.40.40,88,462,41,8,0,1,"Luvas, Arco, Foco, Mapa",0,Legítimo
192.168.15.221,57,384,141,30,1,0,"Mapa, Colar, Arco, Lança",0,Suspeito
192.168.154.181,57,247,98,24,1,1,"Botas, Mapa, Elmo, Escudo",1,Suspeito
192.168.6.248,63,489,74,44,1,1,"Adaga, Elmo, Cristal, Mapa",0,Suspeito
192.168.213.55,68,356,121,1,0,0,"Tomo, Mapa, Anel, Foco",0,Suspeito
192.168.47.47,70,221,61,32,1,1,"Mapa, Tomo, Adaga, Botas",0,Suspeito
192.168.78.134,84,388,113,38,0,1,"Colar, Flecha, Foco, Mapa",1,Suspeito
192.168.111.75,52,276,34,38,1,1,"Adaga, Tomo, Lança, Luvas",0,Suspeito
192.168.157.36,51,441,131,45,1,1,"Botas, Mapa, Anel, Escudo",0,Suspeito
192.168.75.94,69,446,84,37,0,1,"Mapa, Cristal, Chave, Poção",0,Suspeito
192.168.117.201,85,494,107,47,1,0,"Espada, Joia, Poção, Tomo",0,Suspeito
192.168.51.132,59,351,56,16,1,1,"Mapa, Tomo, Poção, Luvas",1,Suspeito
192.168.152.12,82,336,111,25,0,0,"Joia, Anel, Martelo, Foco",0,Legítimo
192.168.155.44,63,426,123,0,1,0,"Escudo, Mapa, Chave, Lança",1,Suspeito
192.168.17.242,95,239,87,0,0,1,"Luvas, Colar, Arco, Foco",1,Suspeito
192.168.247.207,95,364,104,12,1,0,"Cristal, Joia, Colar, Chave",1,Suspeito
192.168.78.25,65,364,85,5,0,1,"Joia, Mapa, Escudo, Colar",1,Suspeito
192.168.175.113,61,226,138,13,0,0,"Cristal, Martelo, Escudo, Luvas",1,Suspeito
192.168.32.127,70,325,90,9,0,1,"Armadura, Anel, Cristal, Chave",0,Suspeito
